Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:33:08.354 	30.800469	35.456152	13.049050	9.436348	4.618593	29.280872	31.897770	12.594107	11.165962	7.420849	114.959523	33.427445	35.744206	4.609938	25.317176	70.072886
오후 8:33:09.328 	30.882771	35.433281	13.030235	9.486234	4.626928	29.334743	31.909461	12.591291	11.195026	7.431929	114.869316	33.295800	35.589819	5.260916	25.348151	69.390932
오후 8:33:10.312 	30.910399	35.756735	12.856638	9.300988	4.532907	29.434340	32.226349	12.432960	10.994575	7.308148	114.935648	33.240913	35.548631	4.735531	25.859267	69.405202
오후 8:33:11.314 	30.436184	36.809408	12.737497	9.041151	4.416921	29.117056	33.112862	12.375803	10.721825	7.192590	115.038945	32.811373	34.597214	4.633564	25.838954	69.527482
오후 8:33:12.370 	30.392055	36.787151	12.598176	9.087336	4.412322	29.478694	32.881434	12.235532	10.669806	7.169297	115.185602	32.787383	34.270459	4.599969	25.842351	69.557680
오후 8:33:13.367 	30.594606	36.448002	12.546480	9.170425	4.411111	29.609972	32.735439	12.130292	10.712523	7.152313	115.156380	32.965258	34.649929	4.843035	26.001686	69.155279
오후 8:33:14.318 	30.563135	36.421977	12.482962	9.172700	4.421164	29.475039	32.782028	12.105447	10.720822	7.152754	115.051913	32.898992	34.536641	4.637115	25.984987	69.377898
오후 8:33:15.330 	30.567932	36.361729	12.538810	9.147630	4.413110	29.441290	32.639842	12.174708	10.758825	7.161633	115.145847	32.640356	34.421577	4.371918	25.884332	69.743750
오후 8:33:16.382 	30.618901	36.339912	12.538224	9.155391	4.389740	29.422331	32.721326	12.077103	10.804419	7.160013	115.214259	32.592879	34.651322	4.429047	25.946611	69.624342
오후 8:33:17.335 	30.650806	36.163770	12.689960	9.099242	4.380314	29.457275	32.607570	12.178609	10.794898	7.125411	115.239935	32.655580	34.767819	4.478389	26.034806	69.486805
오후 8:33:18.448 	31.218859	35.916451	12.473397	8.998839	4.344166	29.800209	32.526816	12.012048	10.724053	7.072991	115.239935	32.655580	34.397187	4.294052	26.057084	69.648864
오후 8:33:19.478 	30.931890	35.785918	12.653965	9.122883	4.377020	29.633072	32.302904	12.099149	10.910927	7.197755	115.393284	32.302046	34.121721	6.979604	42.068994	50.951402
오후 8:33:20.520 	31.213656	35.719100	12.569448	9.093654	4.321300	29.822718	32.149836	12.172406	10.882292	7.205992	115.394228	32.140159	33.580121	4.320244	26.297120	69.382636
오후 8:33:21.583 	31.231934	35.758338	12.630169	9.107528	4.312265	29.719064	32.304900	12.220926	10.895021	7.193860	115.540845	32.014115	33.699018	6.159818	42.421545	51.418637
오후 8:33:22.592 	30.879906	35.631360	12.878158	9.256111	4.395466	29.518088	32.147481	12.368120	11.007194	7.273886	115.666206	32.089242	33.190686	5.941179	42.800352	51.258469
오후 8:33:23.632 	30.887756	36.062185	12.605819	9.106198	4.350750	29.556298	32.379261	12.216106	10.892556	7.208757	115.524175	31.862743	32.442901	5.421814	42.823394	51.754791
오후 8:33:24.581 	30.839448	35.680899	12.785294	9.188522	4.394579	29.417476	32.073167	12.383871	10.984007	7.274545	115.488722	32.020739	32.384664	4.861807	42.778743	52.359450
오후 8:33:25.616 	30.980866	35.670461	12.703058	9.219328	4.403103	29.605584	32.000750	12.343452	11.028171	7.283673	115.550779	32.567517	34.848398	4.205948	42.835962	52.958090
